Time,Balance Before,Balance After,Profit,Action
2022-07-18 12:21:26,1 240.98,1 251.38,+10.39,"Close long position for symbol BYBIT:MATICUSDT at price 0.9207 for 550 shares. Position AVG Price was 0.901800, currency: USDT, rate: 1.000000, last updated rate on 2022-07-18T10:19:00Z, point value: 1.000000"
2022-07-18 12:11:36,1 230.53,1 240.98,+10.45,"Close long position for symbol BYBIT:MATICUSDT at price 0.9208 for 550 shares. Position AVG Price was 0.901800, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 12:07:56,1 224.70,1 230.53,+5.83,"Close long position for symbol BYBIT:MATICUSDT at price 0.9071 for 1100 shares. Position AVG Price was 0.901800, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 12:06:05,1 227.56,1 224.70,-2.86,"Close long position for symbol BYBIT:MATICUSDT at price 0.9001 for 2200 shares. Position AVG Price was 0.901400, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 12:00:01,1 230.61,1 227.56,-3.05,"Close long position for symbol BYBIT:MATICUSDT at price 0.9063 for 2220 shares. Position AVG Price was 0.907672, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:55:27,1 222.31,1 230.61,+8.30,"Close long position for symbol BYBIT:MATICUSDT at price 0.9135 for 550 shares. Position AVG Price was 0.898400, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:52:21,1 210.65,1 222.31,+11.65,"Close long position for symbol BYBIT:MATICUSDT at price 0.9089 for 1110 shares. Position AVG Price was 0.898400, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:37:23,1 213.76,1 210.65,-3.11,"Close long position for symbol BYBIT:MATICUSDT at price 0.8962 for 2220 shares. Position AVG Price was 0.897600, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:33:52,1 217.09,1 213.76,-3.33,"Close long position for symbol BYBIT:MATICUSDT at price 0.8958 for 2220 shares. Position AVG Price was 0.897300, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:30:53,1 221.53,1 217.09,-4.44,"Close long position for symbol BYBIT:MATICUSDT at price 0.8982 for 2220 shares. Position AVG Price was 0.900200, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:28:05,1 223.53,1 221.53,-2.00,"Close long position for symbol BYBIT:MATICUSDT at price 0.9002 for 2220 shares. Position AVG Price was 0.901100, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:27:12,1 225.30,1 223.53,-1.78,"Close long position for symbol BYBIT:MATICUSDT at price 0.9005 for 2220 shares. Position AVG Price was 0.901300, currency: USDT, rate: 0.999960, last updated rate on 2022-07-18T09:18:02Z, point value: 1.000000"
2022-07-18 11:07:07,1 225.19,1 225.30,+0.11,"Close long position for symbol BYBIT:MATICUSDT at price 0.8889 for 1110 shares. Position AVG Price was 0.888800, currency: USDT, rate: 0.999770, last updated rate on 2022-07-18T08:20:33Z, point value: 1.000000"
2022-07-18 11:01:47,1 222.08,1 225.19,+3.11,"Close long position for symbol BYBIT:MATICUSDT at price 0.8916 for 1110 shares. Position AVG Price was 0.888800, currency: USDT, rate: 0.999770, last updated rate on 2022-07-18T08:20:33Z, point value: 1.000000"
2022-07-18 10:55:19,1 219.42,1 222.08,+2.66,"Close long position for symbol BYBIT:MATICUSDT at price 0.8877 for 6660 shares. Position AVG Price was 0.887300, currency: USDT, rate: 0.999770, last updated rate on 2022-07-18T08:20:33Z, point value: 1.000000"
2022-07-17 19:45:28,1 218.70,1 219.42,+0.72,"Close long position for symbol BYBIT:APEUSDT at price 5.089 for 240 shares. Position AVG Price was 5.086000, currency: USDT, rate: 0.999710, last updated rate on 2022-07-17T17:19:06Z, point value: 1.000000"
2022-07-17 19:32:33,1 218.16,1 218.70,+0.54,"Close long position for symbol BYBIT:APEUSDT at price 5.102 for 240 shares. Position AVG Price was 5.099750, currency: USDT, rate: 0.999710, last updated rate on 2022-07-17T17:19:06Z, point value: 1.000000"
2022-07-17 19:18:34,1 213.06,1 218.16,+5.10,"Close long position for symbol BYBIT:APEUSDT at price 5.154 for 60 shares. Position AVG Price was 5.069000, currency: USDT, rate: 0.999840, last updated rate on 2022-07-17T16:21:02Z, point value: 1.000000"
2022-07-17 19:17:51,1 206.82,1 213.06,+6.24,"Close long position for symbol BYBIT:APEUSDT at price 5.121 for 120 shares. Position AVG Price was 5.069000, currency: USDT, rate: 0.999840, last updated rate on 2022-07-17T16:21:02Z, point value: 1.000000"
2022-07-17 19:12:59,1 208.98,1 206.82,-2.16,"Close short position for symbol BYBIT:APEUSDT at price 5.068 for 240 shares. Position AVG Price was 5.059000, currency: USDT, rate: 0.999840, last updated rate on 2022-07-17T16:21:02Z, point value: 1.000000"
2022-07-17 19:04:38,1 212.58,1 208.98,-3.60,"Close short position for symbol BYBIT:APEUSDT at price 5.062 for 120 shares. Position AVG Price was 5.032000, currency: USDT, rate: 0.999840, last updated rate on 2022-07-17T16:21:02Z, point value: 1.000000"
2022-07-17 17:57:24,1 211.33,1 212.58,+1.25,"Close short position for symbol BYBIT:APEUSDT at price 5.075 for 233 shares. Position AVG Price was 5.080373, currency: USDT, rate: 0.999770, last updated rate on 2022-07-17T15:18:04Z, point value: 1.000000"
2022-07-17 17:32:39,1 203.84,1 211.33,+7.49,"Close short position for symbol BYBIT:APEUSDT at price 5.060 for 127 shares. Position AVG Price was 5.119000, currency: USDT, rate: 0.999770, last updated rate on 2022-07-17T15:18:04Z, point value: 1.000000"
2022-07-17 17:03:23,1 200.00,1 203.84,+3.84,"Close short position for symbol BYBIT:APEUSDT at price 5.123 for 240 shares. Position AVG Price was 5.139000, currency: USDT, rate: 0.999740, last updated rate on 2022-07-17T14:20:51Z, point value: 1.000000"
