Time,Balance Before,Balance After,Profit,Action
2022-11-14 08:56:17,1 379.04,1 378.89,-0.15,"Commission for: Close long position for symbol BYBIT:MATICUSDT.P at price 0.9331 for 1100 shares. Position AVG Price was 0.918200, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:56:17,1 362.66,1 379.04,+16.38,"Close long position for symbol BYBIT:MATICUSDT.P at price 0.9331 for 1100 shares. Position AVG Price was 0.918200, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:44:00,1 362.74,1 362.66,-0.08,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9178 for 550 shares
2022-11-14 08:43:42,1 362.81,1 362.74,-0.08,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9186 for 550 shares
2022-11-14 08:42:22,1 362.89,1 362.81,-0.07,"Commission for: Close long position for symbol BYBIT:MATICUSDT.P at price 0.9055 for 550 shares. Position AVG Price was 0.901100, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:42:22,1 360.47,1 362.89,+2.42,"Close long position for symbol BYBIT:MATICUSDT.P at price 0.9055 for 550 shares. Position AVG Price was 0.901100, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:42:06,1 360.55,1 360.47,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9011 for 550 shares
2022-11-14 08:41:42,1 360.62,1 360.55,-0.07,"Commission for: Close long position for symbol BYBIT:MATICUSDT.P at price 0.8956 for 550 shares. Position AVG Price was 0.893700, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:41:42,1 359.57,1 360.62,+1.04,"Close long position for symbol BYBIT:MATICUSDT.P at price 0.8956 for 550 shares. Position AVG Price was 0.893700, currency: USDT, rate: 0.999300, last updated rate on 2022-11-14T06:29:04Z, point value: 1.000000"
2022-11-14 08:41:34,1 359.65,1 359.57,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.8937 for 550 shares
2022-11-13 16:52:48,1 360.13,1 359.65,-0.48,"Commission for: Close short position for symbol BYBIT:MATICUSDT.P at price 0.9042 for 3550 shares. Position AVG Price was 0.905779, currency: USDT, rate: 0.999800, last updated rate on 2022-11-13T14:33:22Z, point value: 1.000000"
2022-11-13 16:52:48,1 354.53,1 360.13,+5.60,"Close short position for symbol BYBIT:MATICUSDT.P at price 0.9042 for 3550 shares. Position AVG Price was 0.905779, currency: USDT, rate: 0.999800, last updated rate on 2022-11-13T14:33:22Z, point value: 1.000000"
2022-11-13 16:50:17,1 354.60,1 354.53,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9072 for 550 shares
2022-11-13 16:50:14,1 354.68,1 354.60,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9072 for 550 shares
2022-11-13 16:48:41,1 354.75,1 354.68,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9069 for 550 shares
2022-11-13 16:37:22,1 354.78,1 354.75,-0.03,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9058 for 250 shares
2022-11-13 16:36:06,1 354.87,1 354.78,-0.08,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9064 for 600 shares
2022-11-13 16:35:47,1 354.90,1 354.87,-0.03,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9063 for 250 shares
2022-11-13 16:35:19,1 354.93,1 354.90,-0.03,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9040 for 250 shares
2022-11-13 16:34:46,1 355.01,1 354.93,-0.07,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9017 for 550 shares
2022-11-13 16:33:20,1 364.64,1 355.01,-9.63,"Commission for: Close long position for symbol BYBIT:MATICUSDT.P at price 0.9008 for 71450 shares. Position AVG Price was 0.900713, currency: USDT, rate: 0.997340, last updated rate on 2022-11-13T13:34:51Z, point value: 1.000000"
2022-11-13 16:33:20,1 358.43,1 364.64,+6.21,"Close long position for symbol BYBIT:MATICUSDT.P at price 0.9008 for 71450 shares. Position AVG Price was 0.900713, currency: USDT, rate: 0.997340, last updated rate on 2022-11-13T13:34:51Z, point value: 1.000000"
2022-11-13 16:33:20,1 358.43,1 364.64,-9.63,"Close long position for symbol BYBIT:MATICUSDT.P at price 0.9008 for 71450 shares. Position AVG Price was 0.900713, currency: USDT, rate: 0.997340, last updated rate on 2022-11-13T13:34:51Z, point value: 1.000000"
2022-11-13 16:33:02,1 361.12,1 358.43,-2.69,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9000 for 20000 shares
2022-11-13 16:32:55,1 363.41,1 361.12,-2.29,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.8998 for 17000 shares
2022-11-13 16:32:14,1 365.70,1 363.41,-2.29,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9006 for 17000 shares
2022-11-13 16:31:25,1 366.10,1 365.70,-0.40,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9004 for 3000 shares
2022-11-13 16:30:55,1 366.51,1 366.10,-0.40,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9003 for 3000 shares
2022-11-13 16:28:58,1 366.91,1 366.51,-0.40,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9017 for 3000 shares
2022-11-13 16:27:34,1 367.32,1 366.91,-0.41,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9025 for 3000 shares
2022-11-13 16:27:27,1 367.45,1 367.32,-0.14,Commission for: Enter position for symbol BYBIT:MATICUSDT.P at price 0.9025 for 1000 shares
